number_of_reviews,price,,N,mean,sd,,
0,$100.00 ,fewer than 6 reviews,1599,138.9399625,100.1369408,,18.8642527
0,$200.00 ,6 or more reviews,2219,120.0757098,81.52317758,,
0,$75.00 ,,,,,,
0,$150.00 ,,,,,,
0,$349.00 ,,t-Test: Two-Sample Assuming Equal Variances,,,,
0,$100.00 ,,,,,,
0,$20.00 ,,,Variable 1,Variable 2,,
0,$150.00 ,,Mean,138.9399625,120.0757098,,
0,$400.00 ,,Variance,10027.40691,6643.467665,,
0,$175.00 ,,Observations,1599,2219,,
0,$50.00 ,,Pooled Variance,8060.536561,,,
0,$60.00 ,,Hypothesized Mean Difference,0,,,
0,$25.00 ,,df,3816,,,
0,$40.00 ,,t Stat,6.405345353,,,
0,$55.00 ,,P(T<=t) one-tail,8.41393E-11,,,
0,$100.00 ,,t Critical one-tail,1.645253035,,,
0,$50.00 ,,P(T<=t) two-tail,1.68279E-10,,,
0,$99.00 ,,t Critical two-tail,1.960585843,,,
0,$105.00 ,,,,,,
0,$218.00 ,,,,,,
0,$50.00 ,,,,,,
0,$65.00 ,,,,,,
0,$149.00 ,,,,,,
0,$79.00 ,,,,,,
0,$200.00 ,,,,,,
0,$275.00 ,,,,,,
0,$199.00 ,,,,,,
0,$150.00 ,,,,,,
0,$70.00 ,,,,,,
0,$80.00 ,,,,,,
0,$95.00 ,,,,,,
0,$89.00 ,,,,,,
0,$200.00 ,,,,,,
0,$73.00 ,,,,,,
0,$85.00 ,,,,,,
0,$100.00 ,,,,,,
0,$109.00 ,,,,,,
0,$75.00 ,,,,,,
0,$85.00 ,,,,,,
0,$95.00 ,,,,,,
0,$143.00 ,,,,,,
0,$60.00 ,,,,,,
0,$150.00 ,,,,,,
0,$40.00 ,,,,,,
0,$185.00 ,,,,,,
0,$40.00 ,,,,,,
0,$70.00 ,,,,,,
0,$90.00 ,,,,,,
0,$40.00 ,,,,,,
0,$350.00 ,,,,,,
0,$39.00 ,,,,,,
0,$40.00 ,,,,,,
0,$90.00 ,,,,,,
0,$400.00 ,,,,,,
0,$55.00 ,,,,,,
0,$350.00 ,,,,,,
0,$215.00 ,,,,,,
0,$85.00 ,,,,,,
0,$95.00 ,,,,,,
0,$255.00 ,,,,,,
0,$325.00 ,,,,,,
0,$100.00 ,,,,,,
0,$175.00 ,,,,,,
0,$100.00 ,,,,,,
0,$46.00 ,,,,,,
0,$300.00 ,,,,,,
0,$100.00 ,,,,,,
0,$100.00 ,,,,,,
0,$195.00 ,,,,,,
0,$50.00 ,,,,,,
0,$160.00 ,,,,,,
0,$325.00 ,,,,,,
0,$199.00 ,,,,,,
0,$149.00 ,,,,,,
0,$85.00 ,,,,,,
0,$215.00 ,,,,,,
0,$135.00 ,,,,,,
0,$65.00 ,,,,,,
0,$250.00 ,,,,,,
0,$69.00 ,,,,,,
0,$150.00 ,,,,,,
0,$200.00 ,,,,,,
0,$195.00 ,,,,,,
0,$249.00 ,,,,,,
0,$90.00 ,,,,,,
0,$60.00 ,,,,,,
0,$95.00 ,,,,,,
0,$400.00 ,,,,,,
0,$175.00 ,,,,,,
0,$109.00 ,,,,,,
0,$400.00 ,,,,,,
0,$250.00 ,,,,,,
0,$250.00 ,,,,,,
0,$175.00 ,,,,,,
0,$95.00 ,,,,,,
0,$115.00 ,,,,,,
0,$125.00 ,,,,,,
0,$50.00 ,,,,,,
0,$90.00 ,,,,,,
0,$225.00 ,,,,,,
0,$295.00 ,,,,,,
0,$80.00 ,,,,,,
0,$500.00 ,,,,,,
0,$50.00 ,,,,,,
0,$45.00 ,,,,,,
0,$35.00 ,,,,,,
0,$49.00 ,,,,,,
0,$99.00 ,,,,,,
